Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Class
0.8003,0.0,0.2073,0.0,0.0,0.3391,0.2476,0.0,0.2789,0.0,0.1496,SEKER
1.3503,0.0,0.0189,0.0,0.0,0.2766,0.7913,0.0,0.0696,0.0,0.0777,SEKER
4.5431,0.0,0.117,0.0,0.0,0.1208,4.0273,0.0,0.0,0.0,0.0,SEKER
3.4074,0.0,0.1154,0.0,0.0,0.2011,2.8565,0.0,0.0407,0.0,0.0,SEKER
2.2413,0.0,0.2287,0.0,0.0,0.2566,1.6767,0.0,0.2373,0.0,0.0,SEKER
1.1545,0.0,0.2294,0.0,0.0,0.3152,0.6067,0.0,0.3191,0.0,0.0922,SEKER
1.0308,0.0,0.0,0.0,0.0,0.3033,0.4788,0.0,0.0079,0.002,0.0778,SEKER
2.505,0.0,0.3498,0.0,0.0,0.3294,1.8939,0.0,0.3853,0.0,0.0,SEKER
3.8816,0.0,0.1828,0.0,0.0,0.1051,3.342,0.0,0.0323,0.0,0.0,SEKER
2.3134,0.0,0.2095,0.0,0.0,0.261,1.7443,0.0,0.214,0.0,0.0,SEKER
3.3473,0.0,0.0769,0.0,0.0,0.1397,2.8162,0.0,0.0,0.0,0.0,SEKER
4.4231,0.0,0.2056,0.0,0.0,0.0489,3.9035,0.0,0.0,0.0,0.0,SEKER
4.0148,0.0,0.106,0.0,0.0,0.1575,3.4776,0.0,0.0,0.0,0.0,SEKER
2.0586,0.0,0.1849,0.0,0.0,0.2219,1.5036,0.0,0.1782,0.0,0.0289,SEKER
2.4088,0.0,0.3152,0.0,0.0,0.2251,1.8347,0.0,0.3086,0.0,0.0,SEKER
1.5349,0.0,0.0,0.0,0.0,0.2477,1.0512,0.0,0.0,0.0,0.0355,SEKER
3.362,0.0,0.1719,0.0,0.0,0.1843,2.8041,0.0,0.0874,0.0,0.0,SEKER
3.5303,0.0,0.2023,0.0,0.0,0.165,2.9684,0.0,0.1032,0.0,0.0,SEKER
0.8448,0.0,0.1559,0.0,0.0,0.2698,0.3175,0.0,0.1943,0.0,0.1514,SEKER
2.0703,0.0,0.1722,0.0,0.0,0.2975,1.5168,0.0,0.2046,0.0,0.0,SEKER
0.6926,0.0,0.1772,0.0,0.0,0.348,0.1618,0.0,0.2488,0.0047,0.151,SEKER
1.6927,0.0,0.0,0.0,0.0,0.2072,1.1737,0.0,0.0,0.0,0.0575,SEKER
1.4369,0.0,0.2983,0.0,0.0,0.2937,0.8535,0.0,0.3796,0.0147,0.0574,SEKER
1.036,0.0,0.0,0.0,0.0,0.2264,0.548,0.0,0.0,0.0,0.0786,SEKER
1.7894,0.0,0.0,0.0,0.0,0.2088,1.2651,0.0,0.0,0.0,0.0525,SEKER
3.4768,0.0,0.1797,0.0,0.0,0.1801,2.924,0.0,0.0858,0.0,0.0,SEKER
2.2588,0.0,0.1012,0.0,0.0,0.2363,1.6973,0.0,0.0856,0.0,0.0,SEKER
1.266,0.0,0.253,0.0,0.0,0.2944,0.6955,0.0,0.3235,0.0,0.0897,SEKER
1.6061,0.0,0.335,0.0,0.0,0.2763,1.0322,0.0,0.3935,0.0,0.0519,SEKER
0.7859,0.0,0.2724,0.0,0.0,0.3958,0.2376,0.0,0.3526,0.0295,0.1434,SEKER
3.703,0.0,0.2122,0.0,0.0,0.134,3.1398,0.0,0.0914,0.0,0.0,SEKER
