Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Class
30543.966,663.6328,153.7589,247.0673,-33.6235,70.4451,30951.9542,214.2995,-62.4897,14.7998,KDE_Synthetic
30874.6713,642.8966,181.9525,149.8171,5.4845,10.424,31274.2526,199.5121,25.9716,-12.4363,KDE_Synthetic
29341.0219,643.8591,208.9257,208.0284,-16.9961,9.2024,29694.4354,208.9501,-12.6058,-6.7541,KDE_Synthetic
32226.3302,572.6418,151.2182,117.8291,-106.6938,-86.8216,32299.8064,116.5285,60.1378,-128.2398,KDE_Synthetic
31835.6562,650.3853,228.861,189.3517,-7.6315,-27.0112,32151.8553,215.5336,14.293,-3.5986,KDE_Synthetic
32018.8787,635.1836,198.4131,232.0281,-100.2837,80.0847,32429.4283,192.5319,-20.2041,-15.414,KDE_Synthetic
31662.1345,857.3057,168.0004,303.3579,6.5834,120.7802,31797.4217,591.3913,177.2024,173.6114,KDE_Synthetic
31552.8502,773.9713,41.5162,505.5734,2.8873,60.3504,31664.6239,264.8832,-103.8279,111.6322,KDE_Synthetic
32236.9988,621.2757,225.7179,184.2977,45.3032,21.5528,32569.5822,173.6473,1.2632,-72.7936,KDE_Synthetic
32049.5389,636.36,227.2937,200.5535,18.8633,1.3847,32329.089,152.7397,9.6802,19.3135,KDE_Synthetic
31112.5187,616.4174,232.1705,166.0119,7.0495,71.3213,31442.5526,228.003,4.724,-82.7144,KDE_Synthetic
31856.2896,679.7893,152.9397,203.4161,24.5555,21.7815,32214.1507,233.4023,2.0831,24.277,KDE_Synthetic
31801.1223,658.211,237.5409,191.9542,27.3503,-8.7244,32073.3259,191.3787,20.876,11.8269,KDE_Synthetic
31065.803,667.8525,177.9267,184.1058,-46.4026,15.749,31513.1912,241.7624,72.288,39.102,KDE_Synthetic
32125.8849,517.8734,204.7017,66.4635,-298.2594,-103.003,32489.6254,509.1833,76.7037,-403.1888,KDE_Synthetic
31318.7186,610.3013,217.63,199.2398,9.3966,62.581,31578.4974,152.7364,-42.1526,-6.1719,KDE_Synthetic
31745.331,610.3014,275.2449,220.7545,20.3027,5.9766,32177.1591,296.8882,-72.3983,14.9071,KDE_Synthetic
30710.4876,565.793,180.9605,214.14,-46.0469,-40.0446,31054.5068,295.561,15.8367,-17.4623,KDE_Synthetic
30600.4523,538.705,194.879,123.2118,79.1721,28.1625,30934.4906,293.2123,-148.0159,129.5287,KDE_Synthetic
31698.2587,636.1213,235.1872,48.099,33.4339,-20.378,32092.1261,297.3477,-0.6119,6.4565,KDE_Synthetic
31803.2732,734.0456,156.2883,201.8152,-59.2815,31.867,32056.4498,224.8556,-23.1387,-69.242,KDE_Synthetic
31833.2717,609.3023,200.6835,167.5561,35.5886,7.6128,32052.2693,192.4299,-4.2795,28.924,KDE_Synthetic
32001.3744,577.8287,213.6754,211.3648,39.6529,23.1038,32194.0292,246.2748,49.373,-24.1639,KDE_Synthetic
30279.998,599.171,333.3662,19.1483,18.727,9.0783,30952.3431,266.3255,30.7232,-25.668,KDE_Synthetic
32081.2347,638.5291,475.4176,-59.7567,-209.628,-163.4631,32370.4787,171.4232,-244.7724,35.1184,KDE_Synthetic
28813.4511,771.9246,405.9855,234.341,200.4734,40.3366,29183.9601,254.4608,172.571,174.8433,KDE_Synthetic
31986.4832,744.3896,144.1307,228.2432,26.1364,-78.0484,32266.2795,142.7102,-23.7075,-2.1459,KDE_Synthetic
31955.7121,649.4131,309.3389,209.861,56.0948,-20.8954,32303.7948,222.2099,-69.246,-14.6679,KDE_Synthetic
31664.1973,718.4644,272.6479,227.9236,47.9119,-78.7906,32071.3808,222.2323,76.9793,-64.0175,KDE_Synthetic
30096.4212,573.8616,171.9277,201.5309,-27.5026,-28.7437,30374.188,186.2134,10.6251,81.6568,KDE_Synthetic
31977.302,58.724,-1028.4668,844.9638,1300.0478,278.4568,32085.0028,-85.5528,-497.9414,50.9564,KDE_Synthetic
29387.1746,687.0828,240.8439,205.2315,40.8615,6.4417,29715.9819,209.2842,13.6243,33.1991,KDE_Synthetic
31275.7206,809.389,433.5167,195.6007,-75.5491,-149.7518,31124.7929,255.2449,-158.9438,-127.4941,KDE_Synthetic
31994.9324,591.4196,195.0627,108.4768,9.8986,41.0864,32430.1711,225.3999,-37.1179,38.693,KDE_Synthetic
31869.0779,664.4368,236.9247,161.3824,2.963,36.0241,32286.6321,241.0796,34.7785,-69.9213,KDE_Synthetic
32062.8806,632.462,266.9225,267.4045,-84.4145,-40.3829,32516.6911,302.9284,-17.6772,39.3337,KDE_Synthetic
31742.309,552.9172,296.2982,471.8228,51.3878,-34.2375,32112.163,230.5791,85.3612,-241.9238,KDE_Synthetic
31856.079,640.5006,265.123,171.088,-6.8505,33.0658,32241.4101,186.3812,-39.0738,-57.3787,KDE_Synthetic
30077.7022,711.3163,51.0103,200.197,19.0432,13.8611,30376.3276,99.7915,55.0335,-43.0193,KDE_Synthetic
32103.1894,593.7475,222.9782,35.2823,-83.1123,80.2214,32264.4481,278.529,198.3943,92.6814,KDE_Synthetic
32247.5408,656.4542,195.5362,176.601,20.4809,-21.5254,32689.9564,194.7251,-6.9168,11.7221,KDE_Synthetic
31709.5228,674.1075,234.876,128.7049,-10.6765,-33.196,31980.3828,219.61,-12.5423,8.7094,KDE_Synthetic
31904.8712,581.9734,177.4279,227.1766,-8.2199,-36.8314,32120.1503,184.6807,2.0987,38.501,KDE_Synthetic
30262.511,602.7097,227.1851,227.5724,-27.6337,-26.9082,30585.9445,284.1698,6.7712,7.1206,KDE_Synthetic
30497.1674,733.3222,297.7324,65.1815,-35.9317,-38.1304,30935.0473,214.5156,26.1906,153.2808,KDE_Synthetic
31673.68,679.1433,223.1396,166.4265,49.207,13.3665,32015.8691,153.1127,-57.2503,-23.4931,KDE_Synthetic
31976.7027,674.6931,267.1588,156.0655,123.6474,83.0992,32455.4357,481.3222,295.5953,56.8491,KDE_Synthetic
31945.5482,675.9894,215.704,247.3578,-6.5653,-17.9672,32182.4304,180.9124,1.0466,-19.2356,KDE_Synthetic
32245.651,747.9563,136.5263,100.6457,-47.105,104.0457,32739.8125,169.3278,14.3821,108.4615,KDE_Synthetic
31673.212,623.4386,219.0716,198.8894,62.2016,0.6089,32053.1713,207.8407,2.9997,-2.8445,KDE_Synthetic
31932.3551,702.4486,179.1238,179.0004,43.4767,23.0566,32393.3245,125.3879,-2.364,53.4092,KDE_Synthetic
31660.6972,607.0376,176.5634,175.0859,39.3857,-99.9774,31935.1638,181.0256,-66.2142,72.0711,KDE_Synthetic
31232.2828,341.7166,-35.014,168.5285,140.1535,58.4421,31336.4134,262.9908,240.2182,339.0137,KDE_Synthetic
31674.3301,612.5372,214.9716,149.2112,59.3083,18.5113,32037.8336,177.5807,17.1447,30.2515,KDE_Synthetic
31983.0064,611.4003,194.2107,172.5005,-16.3369,-7.6906,32264.3816,253.4749,-86.0921,-12.5587,KDE_Synthetic
31069.5233,652.6856,198.0691,191.3615,13.7426,-33.5203,31480.549,192.2696,-11.0089,7.2572,KDE_Synthetic
31699.1451,649.8978,231.3144,259.0583,-8.3489,-27.3185,32030.0503,177.7861,10.4627,-9.6346,KDE_Synthetic
31908.523,686.5571,251.5586,-5.0068,-44.5266,37.674,32455.1662,193.3582,56.2705,1.3964,KDE_Synthetic
32186.036,641.8225,151.7131,203.3633,31.8636,8.0794,32610.1246,118.7411,60.2747,43.7973,KDE_Synthetic
29404.4957,635.4726,229.5304,153.561,-14.117,-33.0007,29729.8153,161.5311,-41.25,-5.0834,KDE_Synthetic
31974.4993,626.3501,202.4419,153.3822,-10.5677,-30.9942,32164.0941,224.1581,-19.9719,-27.8064,KDE_Synthetic
31969.7467,656.6995,234.5449,159.4487,8.8236,24.3047,32224.7801,166.2859,-3.1919,-23.1771,KDE_Synthetic
31793.6689,744.1349,150.8479,185.5857,-56.4838,-29.0293,32054.2782,202.4925,8.7292,17.9972,KDE_Synthetic
30771.3803,803.1334,226.5025,-15.2133,-228.9318,157.2468,31274.9873,353.2548,35.367,-272.0437,KDE_Synthetic
31593.7685,519.8582,237.4604,178.322,-4.5895,-14.2204,31803.3853,199.8155,26.3917,48.5704,KDE_Synthetic
31672.1386,589.4936,251.0229,231.9138,-20.0924,17.4396,32042.3082,199.6446,46.9561,8.9927,KDE_Synthetic
32307.2899,655.614,216.9821,208.9867,8.5001,16.3423,32511.8723,201.7239,-1.1693,-35.7508,KDE_Synthetic
31100.5824,627.9764,199.7203,222.96,29.4993,-24.0785,31412.3399,240.1375,26.0364,12.379,KDE_Synthetic
31856.5766,663.1673,242.6608,159.7513,27.3747,50.9735,32208.2271,225.0786,6.6197,12.4392,KDE_Synthetic
31247.4102,518.8725,304.8648,301.8305,-2.9672,189.3329,31463.7243,419.5984,392.4678,152.1342,KDE_Synthetic
32084.7417,597.056,181.2553,290.0029,-61.5336,-148.6956,32384.4989,-65.7506,49.2997,-34.2267,KDE_Synthetic
31843.1043,690.4914,291.5194,230.5687,56.649,46.2775,32207.7134,165.3352,9.0203,31.367,KDE_Synthetic
31521.0002,613.4179,199.8416,184.7751,-12.3908,-48.8792,31789.0308,177.044,13.6412,-11.9115,KDE_Synthetic
32194.6268,579.0527,268.4258,283.0733,69.3563,-150.1741,32384.878,337.2504,147.2702,-103.1615,KDE_Synthetic
31972.8386,636.1534,205.2587,171.4013,39.1329,20.4767,32233.183,125.8248,-33.7801,-10.0145,KDE_Synthetic
31834.804,690.2226,207.1151,152.9647,39.1933,-2.8399,32029.041,219.5326,-47.7257,-43.7621,KDE_Synthetic
29362.5439,646.9709,189.856,182.2204,36.5956,6.2444,29649.6862,207.3414,-21.7273,-28.9623,KDE_Synthetic
31170.6071,625.125,187.1341,162.9319,-22.0281,-16.1052,31498.3347,158.6589,-7.3698,59.3491,KDE_Synthetic
31623.8136,461.9913,158.9343,304.3171,-203.0484,182.8464,32261.7476,114.153,-11.5717,-11.1539,KDE_Synthetic
28430.572,408.5333,120.0759,-13.5469,-114.1107,143.9539,28520.1939,58.3211,-76.4143,85.9148,KDE_Synthetic
30486.3759,631.0465,177.547,139.7249,-14.5277,82.989,30900.0822,255.3604,70.2522,15.7509,KDE_Synthetic
30858.9587,326.9672,425.0977,723.1159,343.371,-34.1922,31423.3855,-80.412,27.1134,107.9896,KDE_Synthetic
31227.1951,584.2013,140.2283,179.7769,-75.6778,22.1972,31565.3186,218.7899,54.9544,15.3156,KDE_Synthetic
32123.1903,651.1818,231.5585,152.9744,47.3738,40.3681,32398.0042,181.0395,7.9511,48.3036,KDE_Synthetic
31313.018,635.1202,215.4664,146.4899,-4.8592,12.3039,31612.4867,215.8952,8.2546,-7.5951,KDE_Synthetic
32245.9108,637.1252,217.1192,180.4957,4.7353,-14.1393,32540.9721,195.8235,5.1975,83.3838,KDE_Synthetic
31237.265,643.3943,244.8259,156.2639,2.5521,-2.3837,31571.8129,183.2837,-8.9362,3.2711,KDE_Synthetic
31212.0137,653.2925,252.1478,168.1669,9.5656,9.5284,31468.921,201.8076,-4.6358,17.636,KDE_Synthetic
31365.0994,623.4309,252.6065,211.1108,-78.5915,-64.1546,31586.5499,191.0092,27.6215,-8.2556,KDE_Synthetic
31969.7486,588.9683,-13.0316,120.6011,-30.2531,124.3287,32356.1838,234.4781,128.8676,-13.7278,KDE_Synthetic
32063.6061,600.7448,386.0951,154.1507,-5.1272,-119.2855,32617.9003,201.5406,119.4318,157.4415,KDE_Synthetic
30871.1169,594.73,352.9203,240.1267,-292.0846,-40.5802,31836.7883,-212.1406,-128.9568,-80.5837,KDE_Synthetic
32104.1177,602.9456,182.7443,156.1633,-28.7785,11.9523,32400.7259,138.9668,40.4953,-57.6396,KDE_Synthetic
28705.534,779.9615,300.2314,233.2587,-233.3104,104.4857,29039.0809,229.3984,97.2304,9.3841,KDE_Synthetic
31142.1818,663.9246,241.4952,-48.017,-62.5937,-47.8206,31471.9678,140.3328,-7.1985,-174.1031,KDE_Synthetic
31819.4413,625.4038,179.7041,200.8527,19.7019,49.1875,32152.7302,198.8624,26.2992,44.7583,KDE_Synthetic
32164.4234,744.2305,142.4938,182.1378,-40.24,30.0932,32518.3983,228.7992,-82.2052,-45.157,KDE_Synthetic
31958.6555,971.7578,203.749,96.3779,-152.4429,403.5782,32402.6932,301.0986,48.7171,184.3587,KDE_Synthetic
32151.7841,911.9979,367.1774,8.8221,-251.185,-201.7079,32826.8865,356.6596,-55.2308,106.6299,KDE_Synthetic
31786.1756,481.7729,659.8145,36.9574,86.5935,126.9161,32318.3366,400.2103,-131.2744,-371.5046,KDE_Synthetic
32062.0133,836.6337,208.0707,139.7386,-129.0499,-16.3427,32548.8869,633.9546,95.7729,-251.8374,KDE_Synthetic
32273.4881,746.7144,309.2398,140.1403,-129.3942,50.0827,32475.9223,181.3639,55.9516,72.8072,KDE_Synthetic
31730.9687,706.7666,209.2069,176.757,10.7201,55.1495,32218.2637,224.678,15.4534,54.7195,KDE_Synthetic
32212.773,626.6309,220.6032,177.9167,-42.3719,11.2012,32567.1903,163.2668,3.707,-51.4001,KDE_Synthetic
30688.8043,636.7712,184.0566,176.1661,6.0257,-11.6551,31065.9742,178.1797,22.517,-1.1138,KDE_Synthetic
31664.4628,631.8336,196.059,171.6368,-16.4279,-47.6741,32031.5352,184.4277,30.7802,-18.2765,KDE_Synthetic
33312.2076,956.6803,599.6679,-115.8024,-228.1318,67.2306,33210.1002,627.1066,-974.4344,145.3215,KDE_Synthetic
30663.881,591.6564,262.979,201.3414,40.7616,-17.2033,31046.0438,174.8529,-36.6083,34.439,KDE_Synthetic
32038.2003,644.3831,232.5705,227.6611,30.1692,-24.6704,32325.7652,216.7914,1.8127,95.6489,KDE_Synthetic
31796.9621,719.852,245.2109,239.671,48.8865,25.9649,32020.3838,161.6046,35.9806,-44.4635,KDE_Synthetic
31857.1399,522.8294,332.2263,299.2588,-287.3932,-319.4425,32617.7661,-152.9822,-25.3587,-325.0026,KDE_Synthetic
32012.5141,656.2389,256.1698,91.587,56.7594,-47.0043,32329.9837,186.9638,32.4072,-65.0744,KDE_Synthetic
32048.2641,657.3189,209.984,176.016,-12.0613,15.82,32338.3061,261.3579,27.3622,7.0944,KDE_Synthetic
32279.0668,672.4869,163.4111,22.5113,157.6147,17.869,32565.4679,13.543,23.4763,-198.8719,KDE_Synthetic
28776.7684,619.8506,132.2131,121.6098,58.9239,55.6286,29069.8727,89.3994,-26.1752,-45.0087,KDE_Synthetic
32037.9662,578.3025,188.4907,185.9997,-51.6014,41.3986,32244.1068,224.3782,10.9591,-33.9318,KDE_Synthetic
31135.2111,630.3788,246.5024,276.0269,-0.1029,-135.8775,31552.9209,114.7368,12.1116,26.5546,KDE_Synthetic
30692.5701,534.7461,247.704,129.5669,25.5728,4.1889,31079.114,223.8369,42.1537,84.571,KDE_Synthetic
31084.6475,660.0377,235.6106,222.1918,-16.6652,3.6992,31493.4068,160.3845,-7.7731,-22.9897,KDE_Synthetic
31512.9868,824.6456,-608.962,1358.1307,-923.3734,298.6504,31079.0131,-230.0851,640.2498,604.0683,KDE_Synthetic
31832.981,670.2165,181.1439,323.045,35.6343,-10.5673,32295.6222,165.5308,-42.7299,53.77,KDE_Synthetic
32059.8397,745.6424,277.5045,141.3176,-28.16,34.0401,32538.0291,190.9029,83.1623,-9.4264,KDE_Synthetic
32015.7106,630.3673,234.5095,181.2162,5.4775,-18.5127,32260.9398,234.5078,-52.3458,-23.3297,KDE_Synthetic
32204.0096,690.9297,227.9509,123.6921,-9.4633,9.7495,32551.984,204.2944,-15.5547,25.0242,KDE_Synthetic
32247.1346,794.4312,102.1127,-120.6886,154.7583,357.8082,32376.725,461.8721,-191.6947,136.5097,KDE_Synthetic
31424.439,647.7967,283.4331,90.2135,109.617,84.3854,31764.963,309.1821,16.3963,62.6914,KDE_Synthetic
30865.1898,877.5114,35.5728,-112.117,528.4232,-326.6948,31609.0761,1681.1913,-688.0447,362.9029,KDE_Synthetic
28406.6033,540.8365,185.5758,106.5341,-81.3405,41.1186,28741.4853,247.0388,-84.8088,-12.7087,KDE_Synthetic
31468.2321,613.7337,33.798,128.5088,-90.664,-174.8154,31456.9839,237.253,193.2565,-137.5452,KDE_Synthetic
31783.4143,571.8967,422.8381,280.6576,179.891,27.4177,32401.4373,173.3309,-269.781,-323.2652,KDE_Synthetic
31189.0529,533.1469,-38.3976,355.7442,49.589,-179.4913,32120.0574,35.4244,80.8721,-203.5366,KDE_Synthetic
32056.2039,638.7746,254.8024,204.3149,-51.673,25.7716,32335.4402,130.0779,22.6421,1.6187,KDE_Synthetic
31820.2993,606.3158,212.276,168.9698,-29.127,-28.5996,32064.2648,195.0832,7.7361,28.1222,KDE_Synthetic
32125.405,668.0862,219.5475,170.8776,-21.422,-12.5169,32586.0605,243.2361,2.2969,26.9064,KDE_Synthetic
31824.148,633.0021,226.9432,163.8988,-47.6072,-19.2773,32191.0975,210.9228,-45.8439,-44.2257,KDE_Synthetic
31921.2115,700.9739,216.2066,493.3608,318.6325,10.9566,32413.496,180.0339,-255.9473,416.1879,KDE_Synthetic
31113.1954,527.7786,465.3111,15.0709,164.8499,-10.8786,31408.692,-154.9897,293.479,148.1117,KDE_Synthetic
31750.4758,692.2858,230.1729,196.9575,9.5438,-51.1091,32053.2534,166.2777,-4.1842,-21.021,KDE_Synthetic
33088.1738,2117.7433,333.4715,-470.726,-951.216,-532.8183,31833.0053,535.7401,382.3655,393.6978,KDE_Synthetic
32109.906,715.225,231.7815,201.4748,-0.1225,-3.0107,32579.9381,209.2544,15.8964,12.0886,KDE_Synthetic
32159.4625,578.6946,199.8318,135.1052,-14.3283,-0.3417,32447.3613,235.0318,77.5519,10.9907,KDE_Synthetic
31220.869,659.2868,226.6756,213.5669,20.6863,29.2965,31570.0822,165.0557,-30.9701,-46.4996,KDE_Synthetic
32109.7843,695.3548,258.379,215.2834,42.916,-8.2279,32576.1058,202.2844,-24.8298,-0.6278,KDE_Synthetic
32111.0545,1094.2806,569.9669,376.9619,649.6002,-185.2732,31834.9811,103.4268,465.3815,-956.8075,KDE_Synthetic
31514.967,641.5152,270.3093,212.4645,36.3403,12.8686,31780.0543,240.1596,85.3774,10.1913,KDE_Synthetic
30165.9256,610.2209,161.4623,194.7058,7.6864,-40.2375,30415.1409,172.0842,13.1013,2.2564,KDE_Synthetic
31540.3933,554.1305,302.2056,215.0649,80.9667,19.1467,31812.705,241.2793,15.1206,67.8807,KDE_Synthetic
32189.8836,611.2489,216.9966,129.7631,85.0235,-31.3127,32361.4844,196.3954,16.2153,18.4897,KDE_Synthetic
32270.8036,664.5366,201.4713,141.1657,34.0321,11.9081,32546.3892,170.5842,17.4018,14.9319,KDE_Synthetic
32034.6767,691.0712,178.1711,169.819,32.5106,7.1008,32454.5577,206.5225,1.4651,-87.4426,KDE_Synthetic
28222.5128,678.9218,331.9308,93.6567,60.869,-95.6414,28796.387,166.4181,-56.2543,43.3121,KDE_Synthetic
30036.2924,662.1812,196.5635,194.1426,26.3089,-19.2253,30758.0106,249.0798,-5.6865,17.7385,KDE_Synthetic
31361.735,633.2218,262.4585,179.6728,-22.9633,-11.0945,31570.4514,192.6783,-4.7857,-17.6639,KDE_Synthetic
29493.2041,659.4076,229.3148,168.9739,44.2812,-58.3722,29603.7369,176.3624,-22.1637,14.2971,KDE_Synthetic
32267.8128,702.7046,209.7161,194.2735,22.7602,-8.1164,32642.0671,225.5143,17.5464,2.3035,KDE_Synthetic
30830.3292,663.8295,265.6423,167.3772,5.5643,49.9184,31150.6774,186.7775,-36.2294,15.6971,KDE_Synthetic
31875.5288,384.4278,-93.9394,236.8039,200.8864,-55.8479,32270.9045,331.3262,-38.8713,-76.1456,KDE_Synthetic
31128.6939,626.0675,158.1086,231.3433,80.9215,-37.38,31489.4311,62.8748,-81.7463,18.2517,KDE_Synthetic
32231.4614,677.4521,238.3722,183.0652,-34.6492,47.3939,32503.5364,189.146,-5.6613,7.3504,KDE_Synthetic
31359.4148,646.624,243.6692,163.8638,-12.6545,8.2961,31584.8533,246.0668,32.6304,41.6046,KDE_Synthetic
31550.1601,694.7746,-11.5709,323.0843,142.3672,-209.1,31782.7886,269.9783,127.387,135.5003,KDE_Synthetic
32038.056,649.6355,202.8008,175.3009,-45.6631,-17.9119,32409.5716,225.1233,-13.1243,55.4383,KDE_Synthetic
31503.8601,607.3975,191.4445,109.1362,15.9077,105.7332,31788.0562,201.563,-48.4077,-21.1692,KDE_Synthetic
31383.7634,827.1267,431.623,282.6214,-247.1542,44.4912,31678.0905,291.4137,286.0539,-398.7899,KDE_Synthetic
31872.0103,530.1878,309.4047,254.6406,22.0243,206.6038,32105.469,239.511,-88.0244,-225.6894,KDE_Synthetic
31802.5266,664.871,171.5872,160.6646,-52.1802,54.1316,32264.8095,197.7694,38.0494,25.4008,KDE_Synthetic
30293.1707,923.0619,484.2181,262.8746,16.5496,-157.8884,30633.6499,89.9303,16.8552,-175.473,KDE_Synthetic
31984.7666,612.2396,233.8365,139.863,30.2946,-57.5636,32378.0798,182.8045,0.5236,-5.6602,KDE_Synthetic
30322.3187,614.7949,228.2207,180.8002,5.1536,8.2139,30609.5027,209.3567,-22.8461,25.7093,KDE_Synthetic
28410.5138,696.3114,250.0114,197.6976,29.7477,27.4183,28731.171,178.4672,7.5409,66.3927,KDE_Synthetic
30078.7262,152.3828,586.6201,-9.7752,1265.9446,586.0391,29877.741,-237.7897,664.1264,458.073,KDE_Synthetic
32120.5228,651.6661,126.9735,254.3691,-27.0277,-21.9121,32410.3656,202.3086,89.0576,-61.5641,KDE_Synthetic
31768.0041,1063.0342,1221.2958,232.1969,-350.2094,-47.417,32534.0022,360.1612,-1206.6706,834.0417,KDE_Synthetic
31281.7298,548.6047,68.7847,191.481,149.9052,69.0466,31411.5566,252.3352,66.3405,-80.7637,KDE_Synthetic
31185.8585,574.3206,114.4945,164.7276,-83.2218,-19.851,31511.204,176.8475,-66.4822,48.2332,KDE_Synthetic
31963.7848,631.75,201.0179,182.9776,15.5269,-18.5221,32268.7978,215.6549,12.9612,-16.7445,KDE_Synthetic
