Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Class
59040.86,932.23,359.67,210.65,2.44,1.82,60025.4,274.65,1.03,0.87,1.77,CALI
59339.41,940.66,352.49,216.18,-0.05,0.4,59996.83,273.83,1.58,-0.68,2.28,CALI
55937.33,909.39,347.73,205.64,2.6,2.6,56663.45,267.2,0.59,0.5,-1.9,CALI
57015.8,903.64,351.02,209.09,1.45,0.28,58127.9,268.57,1.18,1.65,0.7,CALI
58253.54,951.12,363.02,206.72,0.79,0.57,59974.01,274.58,0.05,2.16,1.25,CALI
59396.7,966.77,384.5,195.16,3.86,0.57,60020.6,274.32,-0.43,2.07,1.23,CALI
56625.51,923.65,356.42,204.36,2.12,2.53,57279.2,269.99,-2.48,3.8,-0.21,CALI
56675.17,898.96,346.39,209.63,1.98,1.73,57180.37,270.19,0.42,2.35,1.92,CALI
54075.56,893.55,342.76,202.41,1.25,0.92,55293.54,261.56,1.07,0.97,-0.66,CALI
55971.1,897.12,342.92,209.07,1.55,0.05,56562.4,268.43,-0.16,0.78,1.58,CALI
56833.46,910.78,341.1,214.22,1.34,-0.47,57510.3,269.46,-0.27,1.95,1.93,CALI
55500.09,897.9,344.59,206.45,1.75,0.96,56395.5,265.68,0.52,1.09,1.07,CALI
55936.86,909.97,348.79,205.77,2.81,0.2,56664.28,268.34,1.83,2.59,0.82,CALI
59516.11,938.54,354.21,218.11,1.75,-0.15,60643.4,276.79,0.63,0.85,0.5,CALI
57784.43,915.99,331.52,223.87,2.69,1.64,59194.96,271.99,-0.79,2.02,1.49,CALI
57616.02,902.5,344.11,215.48,0.43,1.79,58091.55,269.44,0.99,1.93,0.6,CALI
59209.55,959.12,369.94,203.21,1.85,1.71,60035.61,275.08,0.58,2.95,1.46,CALI
55971.88,896.17,340.66,209.89,1.83,-0.2,56560.88,265.99,1.07,2.52,2.13,CALI
56833.63,910.13,341.76,213.35,2.34,3.32,57508.03,268.17,-0.65,0.3,0.1,CALI
52449.24,882.9,337.02,200.01,-0.4,-0.01,53083.37,258.73,1.62,0.91,1.42,CALI
56626.77,923.25,356.11,202.77,2.72,1.05,57280.64,270.22,-0.48,1.17,1.47,CALI
59412.32,921.1,348.66,218.16,1.26,0.25,60021.75,274.76,1.36,1.88,-1.35,CALI
56627.84,923.35,355.78,203.43,1.94,2.06,57280.44,266.9,2.6,-0.42,2.5,CALI
56674.01,900.12,344.71,210.73,1.63,1.67,57180.73,268.88,1.86,-0.54,1.56,CALI
58960.8,936.93,363.38,206.33,2.39,1.04,59574.95,274.32,1.22,2.01,2.06,CALI
55937.94,910.37,348.16,205.94,0.45,0.55,56663.04,266.45,1.87,0.23,1.18,CALI
59650.93,963.83,377.69,205.73,2.41,0.44,61244.13,277.63,1.35,0.24,1.61,CALI
55549.57,914.29,350.1,205.51,0.42,0.29,56516.17,267.37,1.88,0.43,0.47,CALI
55607.32,918.37,351.0,204.66,0.86,-0.34,56288.85,267.25,1.14,1.38,1.53,CALI
59041.95,930.36,360.65,212.56,1.96,2.58,60026.81,274.91,1.03,1.76,0.79,CALI
59345.0,943.47,356.37,214.16,2.94,0.85,60735.13,276.34,-0.18,0.84,1.87,CALI
58822.06,942.12,368.34,209.14,1.48,0.94,60180.38,273.8,0.71,2.3,-0.16,CALI
59397.41,966.01,383.45,197.11,2.18,1.49,60021.2,274.89,0.24,0.22,2.07,CALI
59398.56,966.02,384.13,197.26,1.68,0.16,60020.62,273.97,0.43,0.81,0.49,CALI
59618.46,926.89,339.38,225.01,-0.13,0.89,60538.82,275.41,0.36,0.87,2.17,CALI
55500.73,898.49,343.62,207.71,2.19,2.5,56394.02,267.66,2.58,1.01,0.45,CALI
55971.47,896.38,342.12,208.61,1.65,1.6,56564.02,267.88,1.1,1.12,1.22,CALI
59344.08,943.25,353.89,214.46,1.86,1.4,60734.38,277.45,0.49,2.01,0.66,CALI
55608.59,918.99,349.21,205.56,2.72,0.81,56288.62,265.22,0.85,1.81,0.74,CALI
55971.99,896.01,341.61,206.16,-0.06,0.21,56563.77,268.04,-0.97,0.68,1.69,CALI
58102.22,908.39,333.76,223.65,2.31,0.25,58985.17,272.4,-0.8,0.56,2.23,CALI
54076.32,894.61,343.29,205.09,1.78,1.44,55293.44,262.23,1.56,3.07,-0.84,CALI
57853.46,931.46,358.25,205.75,2.13,2.21,58736.88,271.84,1.81,1.83,1.9,CALI
56270.08,918.36,374.33,195.87,2.47,0.31,57444.15,267.23,-0.43,0.45,-0.05,CALI
56269.72,919.32,375.71,195.16,0.83,0.06,57444.49,267.02,1.83,0.84,-1.04,CALI
56376.32,923.68,351.27,207.75,1.63,-0.36,57032.55,266.59,-0.11,0.47,1.83,CALI
56626.75,922.54,357.78,202.07,3.32,-0.43,57282.37,269.43,0.39,-0.05,-1.4,CALI
58740.0,942.03,370.08,206.09,1.98,0.43,59701.81,274.52,0.27,-0.22,-0.32,CALI
58877.12,967.93,376.24,201.96,3.22,2.27,60278.92,273.52,-0.26,0.32,-0.43,CALI
59337.02,940.29,353.36,215.59,3.02,0.88,60000.56,275.06,-0.97,1.23,0.61,CALI
59344.22,943.57,355.79,213.63,2.62,2.14,60734.45,273.84,0.36,0.12,1.02,CALI
57787.5,915.66,331.44,224.85,0.8,0.82,59195.85,272.05,0.97,0.79,-0.08,CALI
56675.1,899.85,344.17,209.53,1.67,0.35,57179.89,268.77,0.35,-0.02,1.42,CALI
56375.19,920.73,350.54,206.6,1.16,1.27,57031.77,267.42,0.75,2.96,0.62,CALI
