Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
56446.0346,867.9067,301.1701,257.0556,1.2436,0.4598,62117.9936,262.1923,0.7814,0.9904,0.9778,0.8752,0.0047,0.0018,0.769,0.9966,SEKER
34509.405,695.6935,235.3013,191.9299,1.1959,0.6446,33463.1917,202.872,0.7938,0.9881,0.9431,0.906,0.0065,0.0028,0.8236,1.0006,SEKER
34922.4156,653.0488,219.863,204.8375,1.1208,0.4304,35671.2293,209.2976,0.781,0.9893,0.9389,0.9497,0.0067,0.0034,0.891,0.9985,SEKER
33345.5467,644.0226,226.2896,184.195,1.1857,0.5371,32655.3745,197.8041,0.7861,0.9921,0.9735,0.9052,0.0068,0.003,0.8186,0.9987,SEKER
38702.8803,732.0084,249.9395,203.5803,1.2299,0.5482,39674.1787,228.9968,0.8059,0.9878,0.924,0.8963,0.0061,0.0027,0.8376,0.9973,SEKER
48101.9153,698.9611,234.6274,223.3016,1.1569,0.6685,18410.2145,273.2011,0.7934,0.9976,0.9507,0.8391,0.0061,0.0015,0.721,0.9972,SEKER
37722.0974,701.937,241.0999,202.4774,1.1026,0.5113,37741.5966,224.1097,0.7744,0.9915,0.9659,0.9439,0.0063,0.0028,0.8591,0.9991,SEKER
26863.1165,762.391,236.4098,220.0619,1.0636,0.4877,29013.2226,207.3683,0.7757,0.9942,0.9009,0.8958,0.0067,0.0028,0.8546,1.0014,SEKER
42461.4595,760.5596,255.4587,213.1333,1.2091,0.5935,45054.0142,234.9606,0.7521,0.9941,0.9595,0.8949,0.006,0.0024,0.8105,0.9971,SEKER
35364.3386,659.8154,222.5376,180.7467,1.1087,0.4551,32666.8558,200.1561,0.7812,0.9899,0.9286,0.9343,0.0068,0.0033,0.835,0.9985,SEKER
40447.5263,736.4668,264.0598,195.292,1.424,0.6763,40738.6998,227.6836,0.7546,0.9934,0.9526,0.8522,0.0066,0.002,0.7282,0.9982,SEKER
36867.5225,726.3559,245.1646,178.4674,1.2473,0.5145,34082.1484,224.6695,0.7809,0.991,0.9709,0.8727,0.0061,0.0025,0.9282,0.9991,SEKER
43594.2138,703.2153,249.0916,202.5827,1.2474,0.6725,37403.4324,226.0473,0.7628,0.9928,0.9562,0.8956,0.0066,0.0023,0.7441,0.9994,SEKER
37285.3508,768.3526,223.2387,192.9257,1.1705,0.5307,33460.4189,222.7648,0.7744,0.9881,0.9244,0.9337,0.0062,0.0028,0.8974,0.998,SEKER
37417.515,721.1091,242.5166,207.0856,1.1513,0.5279,37035.0516,217.2846,0.7566,0.9916,0.9805,0.9165,0.0062,0.0025,0.8571,0.9995,SEKER
34408.5222,683.2145,244.1402,200.9857,1.0962,0.5259,38524.7523,226.5663,0.7833,0.9899,0.9536,0.9204,0.0062,0.0029,0.8659,0.9981,SEKER
34153.7074,648.8615,214.2987,186.6622,1.2147,0.5343,32732.4179,199.3795,0.7834,0.992,0.9671,0.9121,0.007,0.0028,0.8336,0.9995,SEKER
37513.5942,695.3912,239.7136,190.7908,1.2761,0.5667,37228.3682,215.089,0.7771,0.9877,0.8949,0.9045,0.0065,0.0028,0.8301,0.9983,SEKER
42468.5724,756.6956,264.124,190.0297,1.3412,0.5819,40755.3646,222.7685,0.7892,0.9936,0.9646,0.8729,0.0064,0.0024,0.7544,0.9978,SEKER
47670.2911,764.3005,282.2598,210.3583,1.337,0.6636,46409.8573,241.6994,0.7601,0.9923,0.964,0.8895,0.0059,0.0023,0.7277,0.9992,SEKER
40380.4482,715.1175,280.524,207.8832,1.3845,0.5649,40605.9635,214.5594,0.7991,0.9948,0.9772,0.8876,0.0062,0.0026,0.7434,1.0002,SEKER
46070.4096,644.5997,253.6535,210.6133,1.2601,0.6796,47951.1952,208.2198,0.7964,0.9889,0.9317,0.8773,0.0061,0.0026,0.7627,0.9971,SEKER
42144.2777,813.2643,280.0788,203.0976,1.2052,0.5372,42518.0986,221.6806,0.8098,0.9859,0.9373,0.9122,0.0059,0.0025,0.6661,0.998,SEKER
46294.3537,786.9891,279.5718,214.4066,1.2684,0.633,50777.7553,244.9713,0.7864,0.9899,0.9225,0.8857,0.0058,0.0022,0.765,0.9987,SEKER
41780.891,757.1124,255.0337,215.3979,1.1891,0.5875,40944.6138,235.4208,0.7762,0.9916,0.9658,0.9174,0.006,0.0027,0.8407,0.9988,SEKER
43534.8387,742.9613,258.9016,213.2595,1.2034,0.6194,44083.6066,236.7913,0.7747,0.9866,0.9692,0.9176,0.0061,0.0025,0.8138,0.9975,SEKER
41231.7289,737.3564,246.1367,201.2964,1.2452,0.6691,41803.449,212.1091,0.7645,0.9915,0.9601,0.8773,0.0066,0.0025,0.7818,0.999,SEKER
46271.8972,787.4254,274.7262,224.5201,1.2057,0.6053,49657.5612,229.6833,0.7778,0.9917,0.9823,0.8554,0.0059,0.0026,0.7916,0.9971,SEKER
52648.2917,828.6261,294.4147,222.9702,1.3387,0.6985,52121.4058,260.1386,0.784,0.9918,0.9608,0.9065,0.0053,0.0019,0.7618,0.9997,SEKER
34729.5813,719.0874,256.9715,191.9511,1.2685,0.653,46169.1543,238.0675,0.7644,0.9931,0.9713,0.9061,0.0062,0.0024,0.8169,0.9991,SEKER
43136.3105,772.7819,287.7101,185.4341,1.5657,0.7634,42875.8164,235.7383,0.703,0.9906,0.8836,0.7986,0.0068,0.0017,0.6484,0.9991,SEKER
39468.3975,729.725,227.0449,196.0379,1.1912,0.5789,35467.9047,217.0246,0.7977,0.9909,0.9626,0.8944,0.0064,0.0026,0.7684,0.9988,SEKER
32370.7872,683.1523,197.9014,182.0021,1.1486,0.4772,30329.5617,196.8196,0.7571,0.9845,0.8478,0.931,0.0069,0.0034,0.8946,0.9993,SEKER
34875.9638,703.4148,240.2521,190.2395,1.249,0.5999,39238.1883,221.0032,0.772,0.9919,0.9434,0.893,0.0066,0.0026,0.7921,0.9988,SEKER
34335.0388,687.4697,227.2635,202.2467,1.1665,0.4816,37151.9803,212.3245,0.7738,0.9886,0.9767,0.9357,0.0063,0.0029,0.8699,0.9983,SEKER
40601.9583,735.8023,246.1134,217.2911,1.1662,0.4933,45008.7013,230.27,0.7935,0.9922,0.961,0.9257,0.0061,0.0026,0.8757,0.9983,SEKER
34158.2714,693.5997,234.7596,191.5042,1.2439,0.5768,37049.3718,219.4745,0.7837,0.991,0.9728,0.9053,0.0066,0.0027,0.7987,0.9997,SEKER
35601.3016,692.0058,229.9266,193.9742,1.0322,0.449,34379.1012,211.9669,0.7928,0.9896,0.9709,0.9347,0.0065,0.0025,0.8571,0.9994,SEKER
50088.1182,765.1729,274.7651,213.0573,1.3184,0.5785,47629.3163,244.5027,0.7766,0.9897,0.9338,0.9037,0.0057,0.0022,0.7889,0.9995,SEKER
41851.0676,798.7407,259.1096,203.9867,1.2961,0.6504,42997.4593,240.6582,0.7392,0.9891,0.964,0.8495,0.0063,0.002,0.7393,0.9991,SEKER
37189.4991,697.409,230.7016,200.8926,1.222,0.5722,35385.1903,214.4461,0.782,0.9896,0.9492,0.9187,0.0065,0.0028,0.823,1.0003,SEKER
35700.0264,699.9843,250.6123,194.182,1.2997,0.6248,38426.7222,218.8725,0.7475,0.9929,0.9866,0.8958,0.0065,0.0023,0.7742,0.9996,SEKER
42027.2995,768.9833,243.3493,175.84,1.4412,0.7185,41004.3966,235.1141,0.7713,0.9894,0.9234,0.8458,0.0066,0.0022,0.7148,0.9995,SEKER
41865.8125,728.1956,262.738,201.552,1.3353,0.6066,38211.463,227.6314,0.7535,0.9898,0.9186,0.8739,0.0064,0.0025,0.8126,0.9992,SEKER
33281.7405,719.7411,222.4693,209.628,1.0818,0.3429,33839.9006,209.6694,0.8081,0.9891,0.9741,0.9453,0.0061,0.0031,0.9133,0.9987,SEKER
37735.6947,732.9167,240.5481,215.0892,1.1748,0.6108,35070.9455,238.0071,0.7276,0.9941,0.9549,0.9138,0.0064,0.0028,0.8896,0.9983,SEKER
37422.9327,684.175,228.0653,190.2169,1.1906,0.4897,36003.7128,204.4743,0.7566,0.9872,0.9469,0.9372,0.0064,0.0027,0.8635,0.9959,SEKER
46483.3595,771.1152,273.8183,212.341,1.2619,0.614,46685.7621,250.6424,0.7423,0.9895,0.9518,0.887,0.0059,0.0021,0.7865,0.9978,SEKER
38471.4728,680.3738,248.6657,200.5098,1.3553,0.7941,43165.0067,213.6002,0.7475,0.9879,0.9396,0.8871,0.0067,0.0022,0.7902,0.998,SEKER
38706.4498,688.7012,238.7561,198.696,1.2459,0.5818,39443.9035,221.9638,0.7436,0.9931,0.9712,0.9098,0.0063,0.0026,0.7998,0.9976,SEKER
43469.6521,749.6296,250.6893,208.8694,1.1671,0.5584,42106.5109,232.9344,0.7731,0.9902,0.9489,0.9192,0.0062,0.0026,0.8341,0.9978,SEKER
44358.0945,725.0098,268.4974,194.3117,1.336,0.7294,40272.2318,244.3655,0.7773,0.9921,0.9526,0.8509,0.006,0.0025,0.7841,0.9997,SEKER
41468.8898,770.9091,274.7997,196.2378,1.4683,0.7577,42444.1794,238.3979,0.7676,0.99,0.9347,0.832,0.0067,0.0019,0.697,0.999,SEKER
35001.802,686.1298,241.9077,198.1552,1.17,0.5703,38768.6249,208.1419,0.7868,0.9924,0.9787,0.9058,0.0066,0.0028,0.8518,0.9981,SEKER
53956.963,868.2309,327.2801,208.9443,1.4977,0.754,54322.2157,264.9311,0.7891,0.9923,0.9242,0.8164,0.006,0.0016,0.6582,0.9976,SEKER
42790.6092,760.7652,266.1022,209.6689,1.2542,0.5922,44792.7357,238.3741,0.7525,0.9911,0.9624,0.8842,0.0059,0.0022,0.7956,0.998,SEKER
42524.1566,735.4388,252.5484,199.7361,1.2801,0.6448,43143.1965,230.8985,0.7625,0.9939,0.9674,0.8887,0.0062,0.0023,0.8066,0.9995,SEKER
