Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
30684.93,636.52,214.95,183.43,-1.19,1.13,31044.89,196.25,1.5,-0.21,1.63,2.16,0.56,0.21,1.18,1.13,SEKER
30278.91,634.09,211.82,181.05,2.32,-0.02,30599.52,197.72,0.41,-0.67,0.46,0.22,-0.63,0.47,0.75,2.23,SEKER
30477.81,672.15,212.56,184.27,2.27,-0.82,30968.79,198.15,0.16,-0.46,1.16,1.34,-0.01,0.2,1.33,0.18,SEKER
31107.35,640.34,215.23,183.97,0.4,0.37,31423.03,199.0,1.36,1.7,1.3,1.62,-0.23,-1.2,2.36,1.16,SEKER
30685.4,635.23,212.89,184.01,1.56,1.02,31043.46,198.5,0.39,2.09,2.0,1.76,0.56,0.65,0.27,0.92,SEKER
30476.76,667.88,211.56,185.61,0.63,2.25,30970.91,196.24,0.38,0.32,1.06,2.2,-0.57,-1.33,0.08,2.15,SEKER
30279.49,634.36,210.36,181.34,2.07,0.16,30599.05,195.84,1.51,1.1,0.75,2.02,-2.13,0.45,-1.08,1.19,SEKER
31106.8,639.77,213.77,184.57,2.88,1.64,31421.9,198.9,2.83,1.42,-0.05,2.14,-1.29,-2.0,3.1,1.26,SEKER
31158.31,644.09,215.77,183.95,2.07,0.23,31490.75,199.22,1.16,1.49,1.76,2.65,0.98,0.13,2.08,1.95,SEKER
30833.23,629.98,216.68,181.45,2.53,0.67,31119.68,199.46,0.2,2.31,1.85,0.18,0.44,1.05,-0.85,1.42,SEKER
31157.01,640.87,212.54,187.91,0.97,1.29,31473.3,199.3,2.22,0.22,0.97,1.51,1.69,-2.85,1.44,3.72,SEKER
30140.17,619.9,202.26,190.38,0.56,-0.8,30416.0,198.4,0.44,0.56,1.42,1.51,0.94,-0.31,0.99,1.16,SEKER
30686.43,634.95,212.8,183.85,-0.11,-0.37,31044.11,198.04,-0.22,0.33,2.75,0.74,-1.74,0.6,1.09,2.11,SEKER
30519.46,631.25,212.72,183.66,-0.37,0.63,30847.15,198.24,2.16,0.11,-0.11,-0.65,0.2,1.32,1.02,1.08,SEKER
31105.09,641.75,216.59,185.46,-0.88,-1.02,31422.5,200.67,-0.47,0.93,0.31,0.99,-0.2,-0.67,-0.77,-0.82,SEKER
30684.57,637.18,213.4,184.24,1.66,-0.09,31044.6,197.84,0.94,0.87,0.95,0.85,-1.09,-1.56,0.99,1.07,SEKER
30915.36,642.5,214.13,183.38,0.41,0.39,31278.64,198.85,0.08,-0.47,0.74,0.41,0.98,-0.9,0.95,1.89,SEKER
30517.88,630.22,213.95,181.86,-0.37,-0.44,30845.17,196.89,-0.48,2.59,-0.2,-0.32,-1.38,1.55,1.05,0.02,SEKER
30916.03,641.59,215.48,182.6,2.08,-0.15,31282.93,196.16,-0.26,2.26,1.05,0.4,-0.96,1.64,0.64,0.59,SEKER
30917.46,639.56,213.09,184.1,3.02,0.19,31280.16,198.7,1.25,1.28,-0.62,1.18,-0.56,0.89,1.96,1.73,SEKER
28734.12,638.21,199.58,184.14,0.31,-0.09,29172.35,192.38,1.08,1.17,-0.3,1.5,1.27,-0.96,1.02,2.02,SEKER
31158.02,642.5,211.69,187.83,0.57,0.45,31473.12,201.09,0.58,1.03,0.59,0.04,-1.45,1.27,0.81,0.97,SEKER
31091.58,637.28,209.68,187.03,-1.49,0.8,31457.34,199.38,0.29,-1.19,2.57,0.52,0.15,0.65,0.58,0.4,SEKER
31107.74,640.93,217.27,185.38,0.12,-1.08,31425.93,198.42,1.62,2.12,0.35,0.9,-0.56,0.55,1.88,1.37,SEKER
30277.04,636.09,214.22,182.39,-0.22,0.25,30600.22,197.72,0.55,0.14,1.63,-0.44,0.25,-1.94,0.39,3.3,SEKER
31159.16,640.31,211.41,186.7,1.31,-1.7,31473.71,198.48,1.02,0.44,-0.48,-1.83,0.36,1.27,0.99,2.27,SEKER
28396.92,610.5,208.54,174.98,-0.76,-1.28,28714.88,190.06,0.37,1.43,0.79,1.69,-0.77,0.75,2.94,2.24,SEKER
31158.09,644.95,216.77,184.28,2.22,0.13,31492.24,198.49,0.22,0.33,1.95,-0.06,-0.02,0.73,0.3,-0.02,SEKER
30008.15,645.98,211.99,181.72,0.29,0.05,30724.13,196.44,0.5,0.28,0.19,0.57,-0.97,0.97,-1.03,1.38,SEKER
30518.89,628.9,213.62,181.61,0.89,-0.38,30844.92,197.53,1.34,0.59,1.21,0.09,-1.13,0.74,1.26,1.54,SEKER
28732.23,638.56,201.04,181.86,1.36,1.0,29171.26,191.59,0.47,-0.55,0.14,1.59,-1.24,-0.35,1.16,1.31,SEKER
30476.86,669.8,210.57,183.34,-0.16,0.14,30969.57,196.09,-0.46,1.19,0.59,-0.29,-0.57,-1.2,1.67,0.13,SEKER
30918.49,639.17,213.94,182.93,0.77,0.01,31280.03,200.38,1.0,0.58,-0.48,-1.86,0.76,-0.09,2.26,2.53,SEKER
28734.26,638.65,200.82,182.59,2.17,2.01,29172.42,190.9,0.93,1.29,2.5,1.48,-0.57,-0.12,0.19,0.94,SEKER
30916.66,639.56,213.72,184.73,1.45,2.16,31279.13,197.45,0.29,1.05,1.14,1.53,-0.88,0.81,0.41,0.54,SEKER
31157.01,639.93,211.82,187.58,0.24,0.0,31472.62,199.97,0.16,1.47,0.07,0.61,0.03,-0.13,1.18,0.48,SEKER
31157.88,642.52,211.34,186.4,2.92,-0.73,31473.8,199.12,2.56,0.55,0.51,1.49,-0.96,-1.3,-0.36,2.19,SEKER
29380.77,624.36,213.63,176.79,-0.7,-0.42,29689.95,193.74,0.92,2.21,1.41,0.16,-0.31,0.17,1.42,2.86,SEKER
31107.84,640.96,214.13,184.52,1.94,1.11,31422.09,199.98,0.1,2.37,0.76,1.05,1.07,1.28,0.86,0.89,SEKER
28734.67,636.91,202.67,183.39,1.03,0.01,29172.41,191.02,1.47,2.3,2.65,1.33,1.24,-0.84,1.39,0.68,SEKER
29379.91,624.19,213.51,176.06,2.31,0.98,29692.03,195.53,0.58,0.4,1.7,0.04,-0.51,1.72,0.2,3.13,SEKER
30010.04,646.09,211.12,183.67,0.06,0.89,30725.7,196.0,1.78,0.25,1.23,0.85,0.4,0.64,1.24,1.54,SEKER
30834.14,631.42,218.14,181.98,2.77,1.25,31120.26,197.86,0.01,1.31,2.04,0.61,2.03,-0.57,0.81,2.17,SEKER
30008.49,646.45,209.91,181.36,1.83,-1.06,30724.13,194.9,2.59,1.11,2.76,0.9,0.97,0.1,1.43,1.55,SEKER
29381.32,624.9,215.88,176.04,0.29,0.26,29690.98,192.72,0.07,0.95,1.21,0.25,0.5,-0.08,0.6,0.9,SEKER
30686.7,636.71,213.29,182.63,2.01,-1.67,31044.73,197.16,1.32,0.25,0.43,0.31,-0.74,0.56,1.88,-0.37,SEKER
30916.17,638.63,213.92,184.89,3.36,0.91,31281.62,199.54,1.23,0.25,1.66,1.57,0.1,1.07,1.83,1.57,SEKER
30139.94,620.89,199.93,189.6,1.08,-2.49,30417.78,198.02,1.06,0.6,2.45,0.49,-1.35,-0.22,-0.64,-1.55,SEKER
30518.85,629.76,213.83,181.59,3.55,0.67,30848.42,198.25,0.71,1.97,2.23,1.2,0.18,-2.25,0.66,-0.03,SEKER
28734.65,636.62,201.96,183.22,2.06,-0.07,29171.32,191.1,1.9,2.32,0.52,0.88,0.08,-1.25,0.02,1.01,SEKER
30007.85,645.49,210.16,184.51,0.55,0.3,30723.35,193.91,-0.44,0.63,1.68,0.83,-0.7,0.07,0.31,0.27,SEKER
31157.7,639.63,212.76,185.81,2.09,0.36,31473.31,199.67,-0.24,3.21,-0.39,1.64,0.32,1.22,1.1,1.68,SEKER
30834.98,631.25,217.4,180.78,0.28,0.96,31120.48,197.3,0.63,-0.34,1.89,0.66,0.88,-1.75,0.54,1.37,SEKER
31106.0,641.72,213.86,185.0,1.94,0.5,31421.28,200.75,0.96,1.63,0.65,0.0,1.83,0.35,0.63,2.16,SEKER
30139.53,619.63,201.54,189.98,1.67,-0.03,30416.16,194.32,1.07,1.0,1.0,2.92,1.1,-0.32,0.42,0.04,SEKER
28395.58,610.93,209.37,173.16,1.72,-1.06,28714.16,192.66,1.68,2.72,1.11,1.46,0.64,-1.13,1.49,0.7,SEKER
30916.88,640.32,213.08,184.17,2.71,1.79,31280.5,196.19,-0.6,0.97,1.23,0.81,-0.95,-0.09,1.78,1.19,SEKER
30478.42,670.16,211.61,184.68,1.22,1.27,30969.88,197.64,-0.27,0.15,1.16,1.08,0.18,-0.67,0.04,-0.51,SEKER
30518.2,629.05,213.74,182.66,1.02,1.76,30847.49,197.53,0.22,0.49,1.82,0.58,-0.22,0.47,0.92,0.0,SEKER
28393.16,611.18,206.37,173.45,1.06,-0.45,28715.38,189.73,1.15,0.87,0.97,0.27,0.61,-1.27,1.15,-0.87,SEKER
28733.48,636.9,201.22,182.58,1.48,-0.57,29171.56,189.83,0.9,-0.1,2.31,1.59,-0.71,-0.43,1.14,0.34,SEKER
30278.59,635.22,211.82,183.21,2.61,0.19,30598.3,196.87,0.0,0.36,0.51,1.07,-1.5,-0.13,1.11,1.38,SEKER
30833.93,632.57,215.62,181.4,0.98,-0.53,31121.4,198.39,-0.14,0.73,2.16,2.68,1.31,-1.21,2.18,1.33,SEKER
30007.54,646.06,212.37,181.22,-0.27,2.02,30725.66,198.47,1.26,-0.23,-1.53,1.45,-0.43,2.1,2.5,1.27,SEKER
30834.25,632.26,218.04,179.19,0.73,0.97,31119.49,196.79,1.4,2.28,1.79,0.62,-1.99,-0.6,1.31,0.04,SEKER
31155.87,643.36,216.44,185.57,0.21,-1.01,31490.31,198.82,-0.36,0.53,1.51,-1.03,-0.47,0.66,2.45,2.58,SEKER
30916.45,639.51,214.12,186.52,0.73,0.12,31280.65,199.16,-0.1,0.89,2.89,2.71,-0.6,1.26,1.93,0.87,SEKER
28736.22,636.45,200.14,185.42,0.97,1.01,29173.24,191.11,0.98,2.2,0.59,-0.75,-0.84,-0.89,-0.37,0.74,SEKER
31093.34,639.24,211.13,189.93,0.7,0.57,31458.8,200.34,-0.19,-0.1,1.65,3.11,-1.48,-0.91,0.75,1.16,SEKER
30918.78,640.76,213.16,184.11,-0.09,0.29,31281.27,197.8,0.91,-1.12,1.35,0.51,0.96,0.44,0.32,-1.0,SEKER
31090.78,640.42,211.07,187.02,3.43,0.04,31458.9,199.53,0.87,1.06,2.6,1.8,-0.53,0.27,0.24,-0.26,SEKER
31159.28,642.05,217.14,184.04,3.96,-1.39,31494.02,198.79,-0.38,0.19,-2.16,0.92,0.32,1.13,-0.2,1.8,SEKER
31106.95,641.26,216.32,184.98,-0.02,-0.08,31422.45,199.11,0.44,0.58,0.6,0.74,-2.26,-0.74,0.95,0.07,SEKER
30141.18,619.76,203.43,190.38,1.53,0.95,30417.78,197.03,1.51,1.52,0.38,2.18,0.16,-2.08,1.71,0.27,SEKER
28733.96,638.56,200.98,182.72,-0.14,-0.94,29172.27,192.33,0.12,2.11,-0.19,1.61,-0.41,-1.02,1.07,1.0,SEKER
