Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Class
38110.62,862.44,310.05,158.0,1.48,0.05,39200.28,218.89,-0.39,1.07,0.9,HOROZ
36142.66,737.01,299.4,152.86,3.01,0.2,36592.52,214.32,2.25,1.1,1.35,HOROZ
34950.41,708.35,273.26,164.47,0.63,1.91,35401.92,209.29,0.87,1.43,1.76,HOROZ
38889.92,792.33,321.33,156.95,3.03,1.19,39650.67,222.18,0.68,2.26,2.39,HOROZ
33952.25,717.19,277.4,156.35,1.66,1.58,34419.22,208.66,1.5,0.98,-0.84,HOROZ
38892.62,792.69,320.31,157.58,2.59,1.49,39650.7,223.35,-0.85,0.93,0.11,HOROZ
37471.77,764.35,314.4,151.68,1.84,1.24,38008.04,218.75,-0.85,0.86,0.97,HOROZ
37735.99,790.43,295.95,166.6,0.07,0.17,38887.14,219.48,0.64,-0.09,2.47,HOROZ
38109.78,861.1,310.11,156.13,3.65,-0.28,39198.15,219.9,-0.94,1.34,1.5,HOROZ
36719.39,728.06,271.31,173.96,2.25,0.28,37285.82,214.94,-0.24,2.38,1.5,HOROZ
37039.42,748.25,302.24,155.76,2.57,0.78,37726.67,216.32,2.37,1.59,-0.44,HOROZ
39202.35,791.2,321.62,157.26,1.43,-0.15,40240.17,223.82,-0.0,-1.62,1.29,HOROZ
34584.55,727.41,283.03,156.81,2.32,1.21,35277.61,209.35,1.34,0.43,0.34,HOROZ
39159.92,741.99,281.16,177.95,2.28,2.06,39589.4,222.62,-0.73,2.31,0.37,HOROZ
37453.57,773.13,298.85,162.09,2.71,1.36,38113.34,218.81,2.69,0.71,0.94,HOROZ
37502.53,766.49,306.87,155.54,2.33,1.96,38069.97,220.33,0.18,1.39,1.17,HOROZ
37452.96,772.6,297.86,161.65,2.84,0.64,38112.42,219.39,1.68,0.23,1.22,HOROZ
37971.75,779.84,317.24,153.56,1.9,2.19,38614.4,221.06,-0.44,0.02,-0.67,HOROZ
35462.28,740.16,280.62,164.36,2.4,-0.04,36087.88,212.73,-0.77,0.45,0.13,HOROZ
38427.68,756.62,304.37,160.84,3.26,0.82,38772.41,220.04,1.79,2.27,0.63,HOROZ
35465.92,741.72,277.38,162.87,1.53,0.57,36087.58,213.64,-0.82,0.35,0.53,HOROZ
38426.61,755.77,305.2,160.24,1.99,1.73,38772.54,219.49,1.08,0.55,-0.45,HOROZ
34376.16,738.63,298.76,149.09,1.78,-0.76,34990.49,208.85,0.77,-0.08,1.11,HOROZ
35867.21,706.09,264.89,172.44,2.5,0.93,36262.16,215.22,1.33,0.97,-0.01,HOROZ
35253.6,719.58,268.52,170.31,1.27,1.23,35859.53,211.06,-0.8,1.08,1.93,HOROZ
35464.62,743.18,275.45,165.11,1.91,0.4,36088.37,211.62,-1.22,1.28,1.85,HOROZ
37601.9,748.74,299.48,158.71,2.96,0.94,38280.34,219.24,0.15,-1.53,0.14,HOROZ
39200.94,792.42,320.65,160.56,2.74,-0.56,40240.18,223.84,1.22,-0.44,1.05,HOROZ
38109.79,862.36,310.52,155.99,1.91,1.46,39200.18,220.6,-2.26,0.4,0.61,HOROZ
36798.24,761.16,300.14,154.92,1.68,-0.28,37391.49,217.63,1.55,0.27,0.69,HOROZ
36799.22,759.49,299.97,156.35,1.7,1.08,37394.83,216.84,0.37,1.15,1.38,HOROZ
35254.46,719.61,268.58,170.17,1.1,0.34,35862.33,211.17,0.2,1.73,0.07,HOROZ
36583.67,731.25,293.55,158.21,3.78,0.86,37023.63,216.18,0.69,0.79,-0.24,HOROZ
37454.53,772.08,298.44,160.18,0.9,-1.56,38111.77,217.19,0.72,-0.01,-0.93,HOROZ
38471.64,760.59,304.21,161.66,3.59,0.43,38914.54,220.81,1.63,0.46,-0.13,HOROZ
38425.01,756.49,307.58,161.97,1.31,0.9,38774.44,221.43,-0.19,1.25,0.26,HOROZ
37453.71,770.35,300.12,162.89,1.1,2.53,38113.88,217.86,-0.1,0.17,-0.48,HOROZ
38968.66,772.07,315.06,158.19,-0.18,1.21,39357.04,221.91,0.17,0.93,0.76,HOROZ
38532.17,777.24,319.19,156.49,2.86,-0.44,39014.36,220.85,2.47,-0.84,-0.35,HOROZ
37504.4,767.54,307.63,156.71,1.42,1.01,38069.92,217.52,2.23,1.54,2.04,HOROZ
36800.86,759.17,303.2,159.25,1.6,1.08,37392.35,217.93,2.05,-0.03,-0.45,HOROZ
38425.0,754.74,307.05,160.88,2.13,1.19,38770.74,220.14,0.92,1.03,0.17,HOROZ
37733.28,791.53,299.01,167.48,1.25,0.42,38887.86,217.36,2.06,0.68,1.4,HOROZ
37039.82,749.42,302.44,156.41,1.19,0.75,37726.11,219.62,2.63,0.21,0.7,HOROZ
34952.69,708.46,272.91,163.98,0.26,0.28,35405.14,211.06,1.95,0.71,0.07,HOROZ
36497.59,743.84,294.79,159.7,2.23,2.01,37093.85,215.88,0.41,1.57,1.02,HOROZ
38424.56,755.62,306.45,161.08,1.52,0.78,38772.41,219.88,-0.21,0.66,0.59,HOROZ
36798.15,759.25,301.84,158.62,3.06,1.9,37393.77,216.37,0.37,1.23,0.02,HOROZ
38060.56,754.92,303.84,161.19,0.13,-0.27,38478.73,220.07,2.77,0.7,0.54,HOROZ
38636.77,769.79,314.37,157.13,2.01,-0.06,39095.62,222.33,0.36,0.41,1.39,HOROZ
37430.76,747.5,299.29,160.75,1.0,-0.4,37901.33,218.51,-0.55,1.5,0.82,HOROZ
37088.37,758.53,306.0,155.86,2.03,1.72,37535.89,216.8,-1.13,2.23,0.05,HOROZ
37779.61,738.5,282.5,170.8,1.93,1.3,38242.51,220.05,0.95,0.43,1.28,HOROZ
38059.37,756.41,302.66,159.51,2.88,1.36,38482.73,218.73,2.23,1.62,1.12,HOROZ
36455.53,732.76,282.19,164.32,3.4,-0.34,36977.66,214.29,1.35,0.53,2.66,HOROZ
38969.13,770.81,315.31,158.33,4.24,0.96,39358.39,221.23,0.59,1.31,1.02,HOROZ
34950.97,708.1,272.23,163.73,1.43,0.77,35404.54,211.01,-0.3,1.21,0.9,HOROZ
34586.57,727.14,283.37,156.54,3.77,1.15,35278.84,209.2,0.12,1.46,-0.0,HOROZ
35511.67,739.15,293.78,155.63,1.36,2.25,35979.48,212.54,1.51,0.97,0.68,HOROZ
35256.62,717.94,267.46,168.03,0.89,2.3,35860.86,212.47,-0.49,1.18,0.1,HOROZ
37735.22,793.94,296.71,165.13,1.29,0.35,38885.94,218.49,-0.48,-0.15,1.09,HOROZ
37777.15,727.39,283.0,171.95,0.08,0.43,38193.31,219.26,0.05,0.17,2.1,HOROZ
34164.74,692.03,271.7,161.41,1.45,0.58,34437.6,209.43,1.64,1.17,1.76,HOROZ
38059.5,756.92,304.8,160.17,1.45,0.13,38479.4,220.0,0.16,1.2,0.73,HOROZ
38108.92,862.04,310.29,157.29,0.71,0.22,39201.32,219.89,0.21,1.71,1.71,HOROZ
34414.38,708.93,274.95,159.21,3.03,0.33,34772.07,210.82,-0.67,1.82,0.69,HOROZ
37038.28,747.46,303.16,157.57,3.62,1.28,37726.11,217.23,2.16,0.5,0.71,HOROZ
34414.18,706.38,275.83,160.04,1.09,3.47,34773.6,208.96,0.94,1.64,1.45,HOROZ
