SepalLength,SepalWidth,PetalLength,PetalWidth,Species
6.07,2.94,3.77,1.26,Iris-versicolor
6.47,2.79,4.63,1.47,Iris-versicolor
5.98,2.57,3.98,1.15,Iris-versicolor
5.33,2.52,4.42,1.55,Iris-versicolor
6.15,2.94,4.95,1.48,Iris-versicolor
6.15,2.61,4.22,1.07,Iris-versicolor
5.49,2.52,4.0,1.11,Iris-versicolor
6.3,2.97,4.18,1.35,Iris-versicolor
5.53,2.82,4.23,1.4,Iris-versicolor
6.44,3.03,4.69,1.65,Iris-versicolor
5.73,2.68,4.15,1.24,Iris-versicolor
6.66,3.36,5.28,1.49,Iris-versicolor
5.47,2.43,4.03,0.94,Iris-versicolor
5.22,2.75,3.88,1.21,Iris-versicolor
5.69,2.44,4.43,1.42,Iris-versicolor
5.57,2.77,4.47,1.42,Iris-versicolor
5.59,2.63,3.58,1.25,Iris-versicolor
6.32,2.87,4.28,1.42,Iris-versicolor
6.31,2.69,4.26,1.48,Iris-versicolor
5.26,2.68,3.89,1.34,Iris-versicolor
5.37,2.5,4.05,1.3,Iris-versicolor
5.32,2.47,3.79,1.2,Iris-versicolor
5.86,2.93,4.58,1.42,Iris-versicolor
6.26,2.79,4.88,1.64,Iris-versicolor
6.01,2.29,4.62,1.22,Iris-versicolor
5.55,2.07,4.15,1.11,Iris-versicolor
5.74,2.68,4.51,1.55,Iris-versicolor
5.76,2.37,4.17,1.4,Iris-versicolor
6.05,2.78,4.45,1.36,Iris-versicolor
5.57,2.48,3.71,1.03,Iris-versicolor
5.22,2.33,3.21,1.08,Iris-versicolor
6.01,2.61,3.77,1.22,Iris-versicolor
6.08,2.71,4.15,1.33,Iris-versicolor
6.79,2.53,4.84,1.45,Iris-versicolor
6.04,2.77,4.46,1.38,Iris-versicolor
7.01,3.2,5.08,1.51,Iris-versicolor
6.38,2.7,4.54,1.37,Iris-versicolor
5.4,2.41,4.2,1.24,Iris-versicolor
5.06,2.46,4.37,1.23,Iris-versicolor
5.48,2.74,4.0,1.21,Iris-versicolor
5.92,3.02,4.33,1.55,Iris-versicolor
6.29,3.26,4.5,1.53,Iris-versicolor
6.53,2.48,3.89,1.23,Iris-versicolor
6.45,3.2,4.87,1.65,Iris-versicolor
6.29,2.65,4.27,1.17,Iris-versicolor
5.88,2.94,4.68,1.43,Iris-versicolor
6.02,2.77,3.94,1.29,Iris-versicolor
6.28,2.89,4.01,1.24,Iris-versicolor
6.04,2.89,4.31,1.37,Iris-versicolor
4.39,2.2,3.21,1.16,Iris-versicolor
5.75,2.4,3.68,1.14,Iris-versicolor
6.13,3.1,4.43,1.44,Iris-versicolor
6.12,3.06,4.38,1.43,Iris-versicolor
6.34,2.74,4.21,1.22,Iris-versicolor
6.47,3.11,4.77,1.19,Iris-versicolor
6.98,2.95,5.17,1.46,Iris-versicolor
6.54,3.04,5.13,1.62,Iris-versicolor
4.97,2.69,3.17,0.9,Iris-versicolor
6.55,3.24,4.78,1.57,Iris-versicolor
6.29,2.68,4.73,1.47,Iris-versicolor
5.98,3.38,4.87,1.48,Iris-versicolor
6.39,3.22,4.83,1.66,Iris-versicolor
5.72,2.97,4.09,1.34,Iris-versicolor
7.22,3.02,4.95,1.58,Iris-versicolor
5.79,2.82,4.29,1.32,Iris-versicolor
5.38,2.56,3.75,1.33,Iris-versicolor
5.95,2.56,4.2,1.2,Iris-versicolor
6.31,2.49,4.46,1.16,Iris-versicolor
6.93,3.02,4.52,1.26,Iris-versicolor
5.25,2.86,4.09,1.31,Iris-versicolor
6.85,3.3,4.48,1.31,Iris-versicolor
5.84,2.9,4.11,1.15,Iris-versicolor
6.47,2.96,5.04,1.5,Iris-versicolor
6.21,3.13,4.37,1.38,Iris-versicolor
6.3,2.64,4.16,1.31,Iris-versicolor
5.36,2.81,3.89,1.14,Iris-versicolor
6.46,2.69,4.68,1.62,Iris-versicolor
5.96,2.67,4.36,1.44,Iris-versicolor
5.75,2.64,4.32,1.42,Iris-versicolor
5.31,2.58,3.49,1.16,Iris-versicolor
4.87,2.61,3.52,1.35,Iris-versicolor
6.12,2.65,4.28,1.48,Iris-versicolor
5.64,2.81,4.25,1.41,Iris-versicolor
5.98,1.84,4.25,1.18,Iris-versicolor
6.27,2.69,4.38,1.4,Iris-versicolor
6.14,3.22,4.57,1.55,Iris-versicolor
6.58,3.23,5.24,1.73,Iris-versicolor
6.38,3.32,4.95,1.61,Iris-versicolor
5.45,2.76,3.81,1.4,Iris-versicolor
5.57,2.4,4.15,1.37,Iris-versicolor
5.78,3.15,4.01,1.54,Iris-versicolor
6.18,2.41,4.25,1.52,Iris-versicolor
6.41,2.88,4.3,1.27,Iris-versicolor
6.15,3.03,4.49,1.38,Iris-versicolor
5.82,2.76,3.84,1.17,Iris-versicolor
6.25,2.59,4.54,1.32,Iris-versicolor
6.91,2.98,4.78,1.49,Iris-versicolor
5.99,2.65,4.25,1.29,Iris-versicolor
6.28,2.68,3.96,1.18,Iris-versicolor
6.55,2.62,4.44,1.43,Iris-versicolor
5.53,3.07,4.02,1.34,Iris-versicolor
5.62,2.27,4.03,1.17,Iris-versicolor
5.28,2.05,3.55,1.0,Iris-versicolor
5.68,2.94,4.06,1.4,Iris-versicolor
6.7,3.49,5.0,1.41,Iris-versicolor
5.78,2.98,4.74,1.56,Iris-versicolor
4.72,3.15,3.43,1.24,Iris-versicolor
5.92,2.94,4.68,1.42,Iris-versicolor
6.32,3.16,4.11,1.2,Iris-versicolor
5.55,2.38,4.22,1.35,Iris-versicolor
6.32,3.29,4.45,1.58,Iris-versicolor
6.4,3.16,4.15,1.18,Iris-versicolor
6.42,2.71,4.61,1.16,Iris-versicolor
5.25,2.83,4.2,1.52,Iris-versicolor
6.24,2.65,4.28,1.31,Iris-versicolor
5.9,2.46,4.21,1.21,Iris-versicolor
5.48,2.98,3.28,1.04,Iris-versicolor
6.08,2.84,4.54,1.34,Iris-versicolor
6.49,3.08,5.16,1.77,Iris-versicolor
6.25,2.72,4.44,1.35,Iris-versicolor
7.12,2.92,4.64,1.39,Iris-versicolor
5.58,2.71,3.8,1.25,Iris-versicolor
6.23,2.76,4.29,1.34,Iris-versicolor
5.86,2.41,3.84,1.03,Iris-versicolor
6.45,3.13,4.7,1.41,Iris-versicolor
5.98,2.69,4.59,1.52,Iris-versicolor
5.54,2.25,4.04,1.08,Iris-versicolor
5.9,2.72,4.83,1.47,Iris-versicolor
5.25,2.64,4.21,1.3,Iris-versicolor
5.94,2.6,4.4,1.54,Iris-versicolor
5.64,2.24,3.91,1.1,Iris-versicolor
5.52,2.49,3.72,1.09,Iris-versicolor
5.65,2.59,4.2,1.32,Iris-versicolor
6.05,2.67,3.66,1.15,Iris-versicolor
5.04,2.27,4.17,1.35,Iris-versicolor
6.26,3.05,4.63,1.45,Iris-versicolor
5.31,2.64,3.72,1.01,Iris-versicolor
5.55,2.66,3.68,1.0,Iris-versicolor
5.71,3.24,4.64,1.6,Iris-versicolor
4.84,2.25,3.37,0.85,Iris-versicolor
4.96,2.13,3.48,0.9,Iris-versicolor
5.79,2.66,4.02,1.18,Iris-versicolor
6.06,2.93,4.58,1.41,Iris-versicolor
5.01,2.42,3.85,1.36,Iris-versicolor
5.05,2.02,3.6,0.96,Iris-versicolor
6.21,2.84,4.45,1.44,Iris-versicolor
6.16,2.59,4.44,1.33,Iris-versicolor
6.43,3.17,5.16,1.81,Iris-versicolor
4.45,1.88,3.28,0.85,Iris-versicolor
5.43,2.77,3.8,1.25,Iris-versicolor
6.22,2.57,4.12,1.31,Iris-versicolor
