Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
56834.34,909.91,340.53,213.8,1.43,3.31,57510.72,269.89,1.14,1.16,-0.34,0.62,-0.54,0.67,1.18,0.16,CALI
56626.94,922.96,357.6,202.6,3.44,0.33,57279.55,268.8,0.52,2.0,2.11,2.22,0.13,-0.08,1.51,2.71,CALI
59039.53,930.56,360.03,210.46,0.36,1.74,60025.97,274.4,1.12,1.43,-0.05,0.22,0.7,-1.71,2.27,0.58,CALI
55721.72,897.97,317.59,225.89,3.29,0.98,56735.3,266.71,0.14,1.4,2.18,0.59,0.29,-1.18,1.86,1.43,CALI
59181.29,933.44,351.5,214.6,1.35,0.94,59937.78,274.13,1.92,0.14,2.97,1.35,-2.42,-0.52,1.86,2.35,CALI
58101.47,907.07,333.09,223.37,1.42,1.33,58984.91,272.93,1.51,1.31,-0.13,1.5,1.04,2.24,-0.22,1.74,CALI
56677.53,911.94,357.0,204.79,0.02,1.78,57530.94,269.9,-0.16,1.54,1.59,0.05,2.23,0.47,-1.1,0.71,CALI
58633.98,931.18,350.61,215.93,2.24,1.3,59678.64,272.75,0.42,1.44,0.37,1.34,0.32,1.16,0.55,0.95,CALI
57852.48,931.81,359.53,206.71,2.55,1.54,58736.71,270.92,2.44,1.97,1.86,2.26,-1.12,0.2,0.82,1.11,CALI
52447.62,884.01,336.51,199.91,1.75,0.68,53083.43,259.74,0.8,2.17,0.43,2.18,-1.47,-0.2,-0.39,0.27,CALI
57548.73,927.36,362.54,205.63,1.29,1.65,58470.33,271.16,1.39,1.63,0.34,-0.2,-0.69,-0.57,0.26,3.04,CALI
59467.69,944.91,368.95,205.36,0.77,1.55,60107.25,275.93,1.58,1.34,-0.15,-1.79,0.52,-1.14,0.59,0.78,CALI
59040.23,931.96,359.33,211.69,1.13,1.58,60024.4,274.48,-0.99,0.6,1.7,1.8,2.15,0.14,-0.25,1.73,CALI
58960.81,936.04,364.91,209.38,2.35,1.77,59574.59,274.62,-0.21,0.77,0.13,1.32,0.87,0.46,0.06,1.05,CALI
58821.84,942.84,366.86,207.29,1.07,0.69,60180.44,274.37,1.03,-0.18,2.66,0.35,0.82,0.94,1.08,0.02,CALI
58092.59,922.31,348.21,213.56,2.54,1.84,58689.75,273.06,2.27,0.2,-1.39,0.14,1.67,1.22,-0.18,3.82,CALI
55938.83,910.6,347.36,205.44,-1.29,1.18,56665.16,267.41,0.85,2.92,0.63,0.26,-0.3,1.41,0.33,2.25,CALI
56626.18,924.43,353.86,203.29,1.03,0.27,57279.53,266.76,1.18,2.76,1.03,0.7,-1.47,0.63,0.97,0.6,CALI
54075.52,894.35,341.7,202.46,0.63,0.38,55292.53,261.3,2.07,0.34,-0.02,0.47,-0.37,1.84,-0.5,1.37,CALI
58253.91,950.59,362.71,207.33,2.24,-1.11,59973.28,271.7,1.47,0.69,-1.12,-0.02,-0.93,-0.75,0.95,0.74,CALI
56268.46,921.19,374.65,193.35,2.2,-1.11,57444.98,267.95,1.34,1.64,-0.28,0.64,-0.31,0.66,-1.47,0.01,CALI
59396.65,966.06,382.65,197.5,1.8,0.38,60020.86,276.97,-0.05,1.4,0.82,-0.07,-0.34,0.4,3.68,2.11,CALI
58633.89,928.86,351.68,213.67,1.25,-1.76,59676.85,271.97,0.34,1.69,0.32,0.09,-0.06,-0.13,0.73,1.55,CALI
55972.27,897.76,343.73,209.46,0.26,0.59,56562.13,267.04,1.4,0.03,0.14,-0.25,0.08,1.4,-0.95,0.42,CALI
59617.9,929.49,339.7,223.92,1.8,0.1,60538.01,274.27,1.27,-0.24,-0.09,-0.2,1.56,0.98,1.29,1.55,CALI
58739.42,941.51,370.01,203.62,1.11,2.25,59700.44,274.26,0.57,0.15,2.65,-1.05,0.36,0.28,0.33,0.33,CALI
56629.62,924.54,355.2,201.13,1.12,1.91,57280.22,266.45,0.94,1.4,-0.47,-0.95,1.25,-0.69,2.18,0.41,CALI
57016.99,901.17,350.11,211.52,1.86,-0.09,58127.92,268.76,0.58,-0.77,-1.18,0.03,-0.34,-1.02,1.0,1.23,CALI
59182.67,934.56,354.63,213.25,0.61,0.93,59939.34,273.69,1.38,-0.34,1.7,0.97,0.14,-0.92,0.77,0.63,CALI
59651.96,965.83,379.2,203.32,0.3,1.71,61244.27,275.23,0.93,1.52,0.71,0.57,-0.15,-1.26,0.3,1.78,CALI
58959.97,935.19,362.6,209.32,2.4,1.44,59574.65,273.81,-1.03,1.5,0.36,0.68,0.72,-0.27,1.54,2.35,CALI
52449.56,882.82,336.58,200.28,1.92,-0.44,53083.65,258.36,1.94,1.76,2.81,1.15,-1.02,0.13,0.5,1.12,CALI
55974.41,896.58,344.21,208.46,0.28,-1.05,56564.49,265.42,0.22,0.29,2.71,2.48,0.48,0.43,-0.92,0.69,CALI
58253.31,949.22,362.93,208.06,1.64,2.33,59974.97,273.65,0.49,0.25,1.88,0.07,0.24,1.7,1.57,2.78,CALI
57016.01,905.69,349.06,211.77,2.26,0.73,58125.6,271.17,0.67,0.13,0.26,0.55,-0.38,0.09,0.67,2.27,CALI
59619.91,929.19,339.37,224.2,2.78,1.4,60539.02,274.77,1.22,0.66,0.71,0.95,-0.1,-2.2,0.89,1.02,CALI
58960.19,936.82,363.94,207.67,2.61,0.67,59575.13,273.17,0.75,2.0,2.03,0.92,-1.56,-0.34,0.13,2.54,CALI
58102.7,907.33,334.31,224.51,1.8,-0.37,58985.93,272.9,0.05,0.96,0.48,0.19,1.16,-0.25,1.83,1.79,CALI
56627.27,923.85,355.2,202.77,0.74,-0.54,57280.39,268.86,1.24,0.38,0.96,1.29,-0.06,0.35,1.01,1.02,CALI
59410.88,919.46,346.79,217.79,1.95,-0.73,60023.68,274.6,-0.19,0.2,1.95,0.52,0.35,0.08,2.32,-0.16,CALI
59413.39,919.93,349.16,216.85,2.86,0.04,60022.47,275.22,0.94,0.53,0.28,0.34,0.04,-1.12,0.98,2.11,CALI
57615.99,901.01,345.48,213.61,1.03,-0.54,58092.89,271.55,1.38,-0.41,1.78,0.48,-1.37,-0.31,1.85,1.08,CALI
55608.82,917.61,348.58,204.79,1.57,0.63,56287.55,266.07,0.95,0.23,0.87,2.36,-0.66,1.32,0.45,-0.32,CALI
59338.63,942.33,352.07,214.69,1.84,0.15,59997.78,274.33,0.84,1.71,0.0,0.6,0.21,0.01,0.0,2.09,CALI
57017.36,903.06,350.56,210.06,1.74,-0.22,58127.53,267.92,0.55,0.34,1.86,0.75,0.52,1.1,0.59,0.83,CALI
59398.73,963.47,383.46,198.36,2.95,1.3,60021.55,275.58,-0.24,-0.03,0.09,-0.67,0.84,-1.17,-1.08,1.73,CALI
59514.01,939.06,353.2,216.65,3.06,0.35,60641.9,274.92,-0.3,2.18,0.86,0.31,-0.6,-1.87,-1.94,-0.41,CALI
57905.89,914.56,361.11,206.17,0.23,0.51,58999.9,269.6,1.19,-0.25,-0.26,-0.29,-1.15,-1.36,1.39,2.77,CALI
59421.51,950.12,363.58,210.94,0.73,-0.67,60549.21,276.58,1.98,0.71,2.6,1.56,0.3,-0.65,2.4,-0.03,CALI
54342.1,866.72,304.27,228.09,0.11,1.58,54905.96,263.92,-1.05,0.98,2.27,-0.25,0.15,-1.61,0.36,2.54,CALI
59617.19,928.5,339.37,225.69,0.83,0.16,60538.13,274.2,0.97,1.01,0.56,-1.12,0.56,-0.99,0.18,2.34,CALI
57390.06,922.49,362.51,203.36,1.74,0.43,58763.6,271.45,2.02,2.1,-0.27,0.34,0.72,1.29,1.61,1.35,CALI
59617.21,926.79,340.19,223.65,2.77,0.03,60538.91,274.96,2.06,1.98,1.12,1.69,0.69,-1.14,1.94,0.95,CALI
54136.4,905.01,358.72,195.55,1.19,0.84,54770.11,262.53,-0.87,-0.49,0.61,2.36,-0.7,1.16,0.34,1.27,CALI
58253.11,949.89,362.73,207.79,2.66,1.56,59974.46,271.42,0.05,0.62,0.47,0.69,0.75,0.19,0.85,1.84,CALI
57547.91,929.51,362.56,202.66,2.89,0.78,58471.37,271.25,3.22,1.13,-0.21,0.31,0.05,0.27,0.6,0.49,CALI
59422.84,950.93,363.87,211.26,0.54,-0.53,60549.16,272.51,1.86,1.4,-0.39,1.2,1.22,1.06,-0.29,-0.99,CALI
55721.16,896.37,319.61,224.67,1.54,-0.16,56736.0,266.83,0.8,1.61,0.65,1.4,-1.9,0.03,1.84,1.5,CALI
59208.35,959.77,371.77,202.67,-0.5,0.64,60036.61,273.6,0.43,0.43,0.4,0.55,0.02,0.59,-1.1,0.13,CALI
59039.7,931.5,359.69,211.11,1.12,0.1,60026.03,273.81,1.07,1.28,0.63,2.11,-0.66,1.54,0.66,2.34,CALI
56626.67,921.61,356.17,203.8,0.69,0.72,57281.34,267.67,-0.95,-0.11,1.2,-0.07,-1.23,-1.2,0.67,0.79,CALI
59422.07,948.93,361.95,210.26,0.32,0.62,60550.56,276.23,-0.29,2.34,1.5,1.31,-0.44,-0.19,1.17,0.14,CALI
57614.3,902.79,345.27,213.26,0.81,0.11,58093.59,270.58,0.37,1.17,1.52,2.13,0.88,-1.13,2.4,1.97,CALI
54076.61,895.42,340.81,203.97,1.1,0.53,55292.41,263.26,1.44,1.42,-0.1,1.45,1.06,-0.58,-0.24,2.1,CALI
59343.61,944.13,355.14,214.53,1.18,0.16,60733.6,275.18,-0.19,2.34,-0.35,0.7,-0.32,0.76,0.72,1.07,CALI
55608.87,919.4,349.6,207.57,3.48,1.41,56286.68,263.42,2.21,0.85,-0.51,1.9,-0.01,0.9,1.53,0.36,CALI
58738.47,942.75,369.67,201.92,-0.33,-0.42,59701.02,274.85,0.88,1.35,2.34,-0.07,-1.83,-0.82,0.96,1.06,CALI
58093.78,923.57,349.57,211.86,1.19,0.04,58691.24,271.84,1.76,1.24,0.85,-0.83,0.36,0.91,2.0,0.98,CALI
52447.6,880.51,338.24,200.6,1.37,0.57,53082.04,260.19,1.45,0.55,0.35,0.93,0.06,-1.09,-1.0,1.92,CALI
