Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Class
31824.9,660.86,224.32,180.27,2.16,-0.99,32272.29,200.24,2.17,0.14,0.37,SEKER
31767.76,650.28,222.56,181.26,-0.92,-0.03,32173.22,201.42,1.39,0.68,-0.89,SEKER
30007.41,646.04,210.87,183.29,1.42,-0.55,30722.91,193.09,1.12,0.45,1.32,SEKER
31157.07,643.03,215.55,184.47,-0.77,0.13,31493.39,198.28,0.58,1.78,0.59,SEKER
32167.33,654.13,217.72,188.26,1.49,0.03,32521.71,201.87,1.18,2.28,2.31,SEKER
31572.36,673.63,215.39,185.27,0.24,-0.11,32198.15,200.31,1.27,0.63,0.82,SEKER
31971.38,638.97,215.84,189.93,1.2,-0.16,32246.37,203.02,-0.27,1.58,2.26,SEKER
28394.63,608.6,208.72,172.3,1.38,1.34,28716.29,189.82,0.61,2.01,2.18,SEKER
31824.29,663.97,219.72,180.59,1.25,-0.35,32271.72,201.93,1.91,1.28,0.82,SEKER
31092.69,638.63,209.16,189.07,-0.22,-0.2,31457.74,199.53,0.14,0.86,0.26,SEKER
31203.54,641.15,214.83,184.76,3.12,-1.04,31558.75,198.79,1.27,1.37,1.07,SEKER
31992.97,654.32,210.97,192.88,1.2,1.01,32391.86,201.46,1.3,1.56,0.62,SEKER
31203.63,640.81,214.25,184.54,1.03,0.29,31557.37,200.28,-0.13,-0.08,2.1,SEKER
32026.56,654.21,232.18,177.21,1.53,-0.44,32348.6,202.17,0.63,-0.84,1.09,SEKER
31334.96,634.65,215.61,184.66,1.87,-1.28,31598.88,199.01,1.87,-0.97,1.21,SEKER
32044.68,653.51,216.98,189.77,0.57,0.05,32394.18,201.82,0.94,1.47,2.31,SEKER
28733.48,637.1,201.09,182.24,0.18,-0.79,29171.18,190.61,1.12,0.64,1.48,SEKER
31916.35,641.13,214.42,188.41,1.16,1.82,32183.41,200.43,0.81,2.27,0.76,SEKER
