Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Class
51016.8,859.11,327.03,200.24,0.85,1.66,51718.27,254.94,0.35,0.76,2.61,BARBUNYA
49992.08,911.94,329.48,194.41,1.0,1.12,51285.43,252.65,1.64,0.0,0.27,BARBUNYA
48867.23,884.73,311.58,199.21,1.07,0.42,49648.56,248.2,0.4,0.09,-0.05,BARBUNYA
47004.24,822.84,301.05,198.93,1.14,-0.01,47682.88,243.65,0.7,0.87,0.42,BARBUNYA
45653.25,842.1,305.45,190.91,1.04,1.29,46600.85,240.99,0.45,-0.02,0.74,BARBUNYA
47667.85,844.72,299.13,202.95,1.49,-1.11,48448.99,244.9,1.58,1.4,1.17,BARBUNYA
43143.76,800.38,273.23,200.39,0.15,0.56,43810.75,235.5,1.65,1.6,0.2,BARBUNYA
48868.32,885.14,314.63,198.6,2.81,0.22,49647.93,248.05,0.36,1.12,1.41,BARBUNYA
50976.81,882.25,324.11,200.07,0.99,2.18,51804.04,253.62,1.21,1.01,0.5,BARBUNYA
46528.13,814.63,288.55,204.62,1.41,-0.65,47155.39,243.29,1.2,1.51,-0.07,BARBUNYA
49308.62,866.71,304.64,205.49,-0.74,0.81,50234.96,249.0,0.79,1.61,2.12,BARBUNYA
42013.21,810.09,265.6,199.8,-0.54,1.32,43087.45,233.05,0.03,0.27,2.49,BARBUNYA
47881.68,875.19,327.55,185.08,2.91,1.6,48752.35,245.87,2.37,2.19,1.17,BARBUNYA
47149.3,856.65,299.54,200.4,1.18,0.97,48090.31,246.31,1.02,0.31,1.81,BARBUNYA
46773.19,833.2,305.92,194.07,0.95,0.84,47445.44,243.5,2.28,-0.14,1.93,BARBUNYA
42013.34,811.21,266.77,202.91,0.88,0.09,43086.19,232.5,1.5,0.99,1.21,BARBUNYA
41486.99,759.03,283.21,188.48,2.87,0.04,42005.07,229.94,0.13,0.53,-0.63,BARBUNYA
49991.49,912.39,329.62,193.83,1.4,1.86,51285.24,252.66,1.13,0.1,1.77,BARBUNYA
41487.39,761.56,285.15,188.89,0.78,1.82,42004.92,229.97,1.35,0.47,1.78,BARBUNYA
47003.74,820.45,300.57,201.0,-0.06,0.84,47679.91,244.98,0.62,1.47,1.08,BARBUNYA
